Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Outcome,Working,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Obedience_mean,S-Obedience_prod,S-Sensitivity,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarisation-Dog-Call,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Kacie,10-31-LK,2,2020-01-09,A,LRxGR,F,K1,IGDB,2018-08-02,2019-10-26,2020-07-10,258 days,AD,Success,Success,12:48:54,0:13:27,1.0,5.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,2,4,3,4,2,3.0,1.0,2.0,3.0,3.0,6.0,4.0,Dog kept on lead. Some whining but brief and mild - tries to lie down and get attention in order to get the kong but wasnt over the top or inappropriate,None,3.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,4.0,3.0,5.0,1.0,1.0,,1.0,No,5.0,3.0,1.0,1.0,2.0,4.0,3.0,9.0,1.0,5.0,3.333333333333333,36.0,3.0,1.8333333333333333,0.3333333333333333,3.25,96,2.0,12.0,-1.25,2.5,24.0,3.0,5.0,1.0,1.0,0.0,1.25,2.0,1.5,3.0,1.0,1.0,2.5,4.0,2.5,4.0,2.0,3.0,3.0,5.0,0.0,4.0,60.0
July,10-03-LJ,2,2020-01-08,B,LR,F,J1,IGDB,2018-07-03,2019-10-17,2020-07-10,267 days,AD,Success,Success,13:02:41,0:14:33,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,1,4,1,5,2,3.0,1.0,4.0,3.0,3.0,5.0,5.0,dog jumps up,None,3.0,1.0,1.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,No,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,No,3.0,4.0,1.5,2.0,1.0,1.0,3.0,9.0,2.0,8.0,3.333333333333333,36.0,3.5,1.6666666666666667,0.5,2.75,20,2.5,24.0,-0.25,2.75,30.0,3.5,10.0,1.5,2.0,-1.0,2.0,16.0,1.5,4.0,2.0,6.0,1.5,2.0,1.5,2.0,2.0,3.0,2.0,6.0,1.0,2.6666666666666665,18.0
Kelvin,10-13-LK,2,2020-01-09,B,LRxGR,M,K1,IGDB,2018-08-02,2019-10-07,2020-07-02,269 days,GD,Success,Success,14:43:49,0:14:33,2.0,4.0,1.0,,1.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6,5,4,6,2,4.0,3.0,3.0,3.0,5.0,6.0,5.0,"dog jumps up at handler, sits, down, sits",None,3.0,3.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,2.0,5.0,3.0,3.0,No,1.0,1.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,No,6.0,5.0,1.5,2.0,2.0,4.0,4.0,15.0,2.0,11.0,3.0,24.0,4.0,3.5,3.5,5.25,720,3.0,72.0,-2.25,2.75,30.0,4.0,12.0,2.0,2.0,,2.75,36.0,1.75,6.0,3.6666666666666665,40.0,2.5,4.0,2.5,4.0,3.0,5.0,3.333333333333333,32.0,-2.0,5.0,120.0
Meeko,11-02-IM,2,2020-01-16,A,LR,M,M1,IGDB,2018-08-25,2019-11-04,2020-05-29,207 days,W,Fail,Fail,14:41:37,0:16:41,3.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,2,3,4,4,3,2.0,2.0,2.0,2.0,2.0,5.0,2.0,Staring intently - does avert attention for a few seconds but reverts back to starting at kong. Good behaviour shown - no breaks in the sit or shifting weight or moving. ,Both,3.0,1.0,2.0,2.0,3.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,No,4.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,1.3333333333333333,2.0,2.5,1.0,0.5,3.25,96,2.25,24.0,-1.0,2.25,24.0,3.5,12.0,2.5,4.0,-3.0,1.0,1.0,1.5,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.3333333333333333,2.0,3.0,3.333333333333333,36.0
Katie,11-21-IK,2,2020-01-28,B,LRxGR,F,K1,IGDB,2018-08-02,2019-11-19,2020-07-10,234 days,AD,Success,Success,12:38:33,0:15:14,1.0,5.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,4,4,3,6,3,3.0,3.0,6.0,4.0,5.0,6.0,5.0,"jumps up for kong when being handed in, sits, downs, ",Righ,3.0,3.0,2.0,3.0,6.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,No,1.0,3.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,No,4.0,5.0,1.0,1.0,2.5,6.0,4.5,20.0,2.0,14.0,2.0,6.0,2.5,0.8333333333333334,0.8333333333333334,4.25,288,3.75,162.0,-0.5,3.25,90.0,4.0,12.0,1.5,2.0,-1.0,1.75,8.0,1.5,4.0,2.333333333333333,9.0,1.5,2.0,2.5,6.0,3.0,9.0,1.3333333333333333,2.0,0.0,3.0,24.0
Kain,11-11-IK,2,2020-01-16,A,LRxGR,M,K1,IGDB,2018-08-02,2019-11-12,2020-07-15,246 days,AD,Success,Success,15:07:36,0:15:03,2.0,5.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,6,2,2,3,3,3.0,2.0,4.0,4.0,5.0,4.0,5.0,Jumping up at handler and staring very intently,Both,3.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,No,1.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,No,4.0,6.0,1.5,2.0,2.0,4.0,4.5,20.0,2.5,16.0,2.6666666666666665,16.0,3.5,1.8333333333333333,1.8333333333333333,3.25,72,3.0,72.0,-0.25,2.75,30.0,3.0,5.0,1.0,1.0,0.0,2.25,18.0,1.25,2.0,2.333333333333333,9.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,64.0,2.0,3.333333333333333,36.0
Kaiser,11-24-IK,2,2020-01-28,A,LRxGR,M,K1,IGDB,2018-08-02,2019-11-20,2020-07-31,254 days,GD,Success,Success,13:47:44,0:14:06,2.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,2,2,3,5,5,2.0,2.0,4.0,4.0,4.0,4.0,4.0,"Whining, intense stare but maintains sit",Both,3.0,3.0,1.0,2.0,6.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,No,1.0,3.0,3.0,4.0,4.0,2.0,3.0,,1.0,No,4.0,4.0,1.5,2.0,2.0,4.0,4.0,16.0,2.0,12.0,3.333333333333333,32.0,4.0,1.8333333333333333,1.8333333333333333,3.0,60,3.25,80.0,0.25,2.5,24.0,4.5,18.0,2.5,6.0,-1.0,2.0,12.0,1.5,3.0,1.0,1.0,2.0,3.0,3.0,9.0,3.5,12.0,2.5,4.0,-1.0,3.6666666666666665,48.0
Jessie,11-25-IJ,2,2020-01-28,A,LR,F,J1,IGDB,2018-07-03,2019-11-20,2020-08-30,284 days,GD,Success,Success,14:45:38,0:12:23,2.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,3.0,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,2,3,5,1,2.0,2.0,4.0,2.0,3.0,4.0,2.0,Video cut short but from what was recorded - she was interested and looking but no breaking the sit and no inappropriate behaviour at all.,Left,2.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,No,1.0,1.0,3.0,4.0,5.0,1.0,2.0,2.0,1.0,No,4.0,4.0,1.5,2.0,1.0,1.0,2.5,6.0,1.5,5.0,2.0,6.0,3.5,0.0,0.0,3.25,90,2.25,16.0,-1.0,1.75,8.0,3.0,5.0,1.0,1.0,0.0,2.5,24.0,3.0,72.0,2.333333333333333,8.0,2.0,3.0,2.0,3.0,2.5,4.0,2.6666666666666665,10.0,-1.0,3.6666666666666665,48.0
Kali,12-01-LK,2,2020-02-19,A,LRxGR,F,K1,IGDB,2018-08-02,2020-01-11,2020-07-16,187 days,GD,Success,Success,14:18:33,0:14:16,1.0,5.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,2,3,1,5,3,2.0,2.0,4.0,3.0,4.0,6.0,4.0,Intent stare and trying to do obedience to get handler to give kong,Left,3.0,3.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,Yes,4.0,4.0,1.0,1.0,2.5,6.0,3.5,12.0,1.0,6.0,3.0,27.0,4.0,1.8333333333333333,0.0,2.75,30,2.75,48.0,0.0,2.5,24.0,3.5,10.0,1.5,2.0,-1.0,1.75,6.0,1.0,1.0,1.0,1.0,2.5,4.0,2.5,4.0,2.0,3.0,2.333333333333333,8.0,0.0,3.6666666666666665,48.0
Meg,11-22-IM,2,2020-01-30,B,LR,F,M1,IGDB,2018-08-25,2019-11-19,2020-01-31,73 days,W,Fail,Fail,14:23:17,00:14:58,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,4,5,4,5,1,4.0,3.0,2.0,3.0,5.0,6.0,2.0,sits,Righ,3.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,No,1.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,No,4.0,4.0,1.0,1.0,2.0,4.0,4.0,15.0,2.0,11.0,3.333333333333333,36.0,3.5,1.0,0.5,4.5,400,2.5,24.0,-2.0,2.25,24.0,2.5,4.0,1.0,1.0,0.0,2.0,12.0,1.75,6.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,2.333333333333333,5.0,0.0,3.6666666666666665,48.0
Illana,11-27-II,2,2020-01-30,B,LRxGR,F,I1,IGDB,2018-06-28,2019-11-18,2020-07-15,240 days,AD,Success,Success,13:30:03,0:15:33,2.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,4,4,3,4,4,4.0,1.0,3.0,3.0,4.0,5.0,2.0,sits,Left,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,No,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,No,4.0,4.0,1.5,2.0,2.5,6.0,3.5,12.0,1.0,6.0,1.6666666666666667,3.0,3.5,1.0,1.6666666666666667,3.75,192,3.0,48.0,-0.75,2.25,24.0,3.0,8.0,1.5,2.0,-1.0,2.0,12.0,1.75,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,2.0,1.3333333333333333,2.0,2.0,2.333333333333333,8.0
Zodiac,04-04-LZ,2,2019-07-16,B,LR,M,Z1,Private breeder,2018-04-06,2019-04-24,2019-10-25,184 days,GD,Success,Success,14:22:57,0:14:59,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,2,2,3,4,1,1.0,2.0,3.0,3.0,3.0,4.0,4.0,walked around and lay down and walked around again,None,3.0,1.0,2.0,2.0,6.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,No,4.0,4.0,1.5,2.0,2.0,4.0,3.0,9.0,1.0,5.0,3.6666666666666665,48.0,2.5,2.5,1.8333333333333333,2.75,48,1.75,6.0,-1.0,2.75,48.0,4.0,12.0,1.5,2.0,-1.0,1.25,2.0,1.25,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,2.333333333333333,5.0,0.0,3.6666666666666665,48.0
Junior,10-11-LJ,2,2020-01-09,A,LR,M,J1,IGDB,2018-07-03,2019-10-07,2020-07-21,288 days,GD,Success,Success,15:05:43,0:14:11,3.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,3,3,4,2,2.0,2.0,2.0,2.0,3.0,6.0,5.0,"Sitting, going down, jumps up and then lies down again. Very unsettled.",Righ,3.0,1.0,2.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,3.0,3.0,5.0,2.0,1.0,3.0,1.0,No,4.0,4.0,2.0,3.0,2.0,4.0,2.5,6.0,0.5,2.0,3.6666666666666665,48.0,3.5,0.0,0.0,3.25,108,2.0,16.0,-1.25,3.0,60.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,1.25,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,15.0,1.0,3.333333333333333,36.0
Joy,10-12-LJ,2,2019-12-18,A,LR,F,J1,IGDB,2018-07-03,2019-10-07,2020-06-19,256 days,GD,Success,Success,12:20:35,0:15:42,2.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4,4,3,1,1,3.0,4.0,5.0,2.0,4.0,6.0,4.0,Looking back and forth,None,3.0,3.0,1.0,2.0,7.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,No,2.0,1.0,5.0,3.0,5.0,1.0,1.0,3.0,3.0,No,4.0,6.0,1.5,2.0,2.5,6.0,3.0,8.0,0.5,2.0,2.333333333333333,8.0,3.0,1.0,0.0,3.0,48,3.25,60.0,0.25,2.5,24.0,5.0,21.0,2.0,3.0,-2.0,2.75,36.0,1.75,6.0,3.6666666666666665,45.0,3.5,10.0,3.0,5.0,2.0,3.0,3.6666666666666665,45.0,0.0,4.0,60.0
Minnie,12-02-LM,2,2020-02-19,A,LR,F,M1,IGDB,2018-08-25,2019-12-09,2020-08-31,266 days,GD,Success,Success,13:58:42,00:14:11,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,4.0,4.0,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,2,3,2,4,1,3.0,2.0,4.0,2.0,4.0,6.0,4.0,Sits patiently for the duration,Righ,3.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,2.0,3.0,2.0,5.0,1.0,1.0,,1.0,No,4.0,4.0,2.5,6.0,1.0,1.0,3.0,8.0,2.0,7.0,3.333333333333333,32.0,4.0,2.5,0.0,2.75,48,2.5,24.0,-0.25,2.75,48.0,2.5,4.0,1.0,1.0,0.0,0.75,0.0,1.25,2.0,1.0,1.0,2.0,3.0,2.5,6.0,2.0,4.0,3.0,5.0,0.0,3.0,24.0
Vaughan,04-11-LV,2,2021-06-21,A,LR,M,V1,IGDB,2019-06-11,2021-04-07,2021-08-27,142 days,AD,Success,Success,13:21:16,0:15:39,3.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,5,3,4,5,1,2.0,2.0,2.0,2.0,2.0,5.0,5.0,Unsettled - constantly shifting position and jumps up,Left,3.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,No,4.0,4.0,2.5,6.0,1.0,1.0,2.0,4.0,1.0,3.0,3.6666666666666665,48.0,4.0,0.0,0.0,4.25,300,1.75,8.0,-2.5,3.25,90.0,2.5,4.0,1.5,2.0,1.0,2.0,8.0,1.25,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,2.333333333333333,5.0,-1.0,3.6666666666666665,48.0
Yani,04-12-LY,2,2021-06-21,A,LRxGR,F,Y1,IGDB,2019-09-25,2021-04-07,2021-08-27,142 days,AD,Success,Success,13:45:48,0:15:19,3.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,3.0,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4,3,2,5,2,2.0,3.0,4.0,3.0,4.0,6.0,4.0,Jumps up when handler first gets the kong. Then unsettled. Interaction recording split between first and second videos. ,None,3.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,No,4.0,4.0,2.0,3.0,1.0,1.0,3.5,12.0,2.5,11.0,1.6666666666666667,4.0,3.5,1.0,0.0,3.5,120,2.75,48.0,-0.75,2.5,24.0,4.0,15.0,2.0,3.0,-2.0,1.25,2.0,1.75,6.0,1.3333333333333333,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.333333333333333,5.0,-2.0,3.333333333333333,36.0
Yorkie,04-13-LY,2,2021-06-21,A,LRxGR,M,Y1,IGDB,2019-09-26,2021-04-07,2021-12-10,247 days,GD,Success,Success,12:18:32,0:14:35,3.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,3,3,2,3,2,1.0,1.0,2.0,2.0,2.0,6.0,4.0,"Goes from standing, to sitting to laying down, slight whining. No undesired behaviour seen for most of it but did jump up while handler walked to her position. Video ends before interaction begins. ",None,3.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,No,2.0,1.0,5.0,5.0,5.0,1.0,2.0,4.0,1.0,No,4.0,4.0,2.5,6.0,1.0,1.0,2.0,4.0,1.0,3.0,3.333333333333333,36.0,3.5,1.0,0.0,2.75,54,1.5,4.0,-1.25,2.5,24.0,2.5,4.0,1.0,1.0,0.0,2.5,32.0,1.5,3.0,2.333333333333333,9.0,3.5,10.0,3.0,5.0,3.0,5.0,3.333333333333333,20.0,-1.0,4.666666666666667,100.0
Verona,04-14-LV,2,2021-06-21,A,LR,F,V1,IGDB,2019-06-11,2021-04-07,2021-08-27,142 days,AD,Success,Success,14:10:52,00:15:46,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,4,2,2,5,2,2.0,2.0,5.0,2.0,4.0,4.0,5.0,"jumping, pacing, whining, lots of begging",Righ,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,No,1.0,1.0,4.0,3.0,5.0,1.0,2.0,3.0,,No,5.0,4.0,3.5,12.0,1.0,1.0,3.0,8.0,2.0,7.0,2.6666666666666665,16.0,2.5,2.833333333333333,1.8333333333333333,3.25,80,2.75,40.0,-0.5,3.25,90.0,1.0,1.0,1.0,1.0,0.0,2.25,18.0,1.25,2.0,3.0,16.0,2.5,4.0,2.5,4.0,2.0,3.0,4.0,15.0,-1.0,4.0,60.0
Milo,12-03-LM,2,2020-02-19,A,LR,M,M1,IGDB,2018-08-25,2019-12-10,2020-08-24,258 days,AD,Success,Success,15:14:29,0:14:33,3.0,5.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4,3,2,3,1,2.0,2.0,2.0,2.0,3.0,4.0,4.0,"tail wagging, shifts position every now and then, antsy",Both,3.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,3.0,3.0,4.0,3.0,1.0,,1.0,No,4.0,3.0,2.0,3.0,1.0,1.0,2.5,6.0,1.5,5.0,3.6666666666666665,48.0,4.0,1.0,0.0,3.0,72,1.75,8.0,-1.25,2.75,48.0,2.5,4.0,1.5,2.0,1.0,1.0,1.0,1.5,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.5,4.0,2.0,3.333333333333333,36.0
