"","estimate_0","estimate_1","se_0","se_1","z_value_0","z_value_1","p_value_0","p_value_1","deviance"
"Tea.Towel.First.Response..Change.from.Neutral.",-0.810930216215486,-0.650587566141968,0.60092497083991,0.661893919166163,-1.34946999303765,-0.982918179640571,0.177186052262981,0.325647709610403,98.2694628702479
"Tea.Towel.First.Response..Turns.head.",-1.17865499633931,-0.2231435513164,0.571771425102904,0.636244564133796,-2.06140941046009,-0.350719776474939,0.0392639978312711,0.725798587382706,99.0577943737815
"Tea.Towel.First.Response..Attempts.to.Removes.towel.by.moving.",-1.44036158239011,0.149377401075489,0.370711296996957,0.503324782535787,-3.88539975462884,0.296781335349543,0.000102161642596069,0.766633456051716,99.0894462366904
"Tea.Towel.First.Response..Attempts.to.Removes.towel.with.mouth.",-1.09861228866514,-0.619039208409195,0.320256031763852,0.520636237911501,-3.43041872658693,-1.18900522732039,0.000602650477508206,0.234437609940392,97.717313032466
"Tea.Towel.First.Response..Plays.",-1.28966752542986,-0.90755703492758,0.259083505100674,1.08538115447013,-4.97780638303749,-0.836164356815864,6.43089367509222e-07,0.403062447161807,98.3175599732468
"Tea.Towel.Second.Response..Indifferent.",-1.33500106673183,-0.274436845702274,0.290190387253034,0.619847126883563,-4.60043173507247,-0.442749242191497,4.21616177146846e-06,0.657947120686099,95.3175085976896
"Tea.Towel.Second.Response..Turns.head.",-1.90954250487249,0.705569700548585,0.535757247620096,0.61131200449934,-3.56419350994303,1.1541891789389,0.00036497663306891,0.2484226180013,94.0681995354381
"Tea.Towel.Second.Response..Change.from.Neutral.",-1.70474809223843,0.405465108109014,0.543557304990892,0.616687072158651,-3.13628034539429,0.657489229812657,0.00171105556352629,0.510866393922612,95.0659746186642
"Tea.Towel.Second.Response..Attempts.to.Removes.towel.by.moving.",-1.26566637333003,-0.292478244716516,0.341394169937686,0.517557500772763,-3.70734618450296,-0.565112560980795,0.000209442548521421,0.571997205349319,95.1981918140521
"Tea.Towel.Second.Response..Attempts.to.Removes.towel.with.mouth.",-1.34373474670064,-0.144342308729179,0.324148711836745,0.529327474729508,-4.14542676750604,-0.272689999329695,3.39181392744701e-05,0.785091522847519,95.4452205258278
"Tea.Towel.Second.Response..Plays.",-1.43210389715112,0.228131092827216,0.278254112337882,0.71467338230176,-5.14674836292131,0.319210283293986,2.65040480488566e-07,0.749567059617343,95.4211984862832
"Crate.Urinating",-1.45343366395752,-15.1126347585429,0.261806356955992,1696.73436303076,-5.5515598660648,-0.00890689496707564,2.83131719748895e-08,0.992893419985324,92.2371914099423
"Sex",-1.63413052502447,0.481451015088697,0.386510341261017,0.508958923741143,-4.22790893431986,0.945952595839667,2.35873216098147e-05,0.344172765192719,98.7224078869081
"Breed",-0.900786545336455,-1.00345090730843,0.328896558035521,0.521829528698153,-2.73881414483872,-1.92294772933185,0.00616612200365708,0.0544866147088325,95.7575033875681
