,,,Data Collection 1,,,,,,,,,,Date Collection 2,,,,,,,,,
Intake,Name,Code,Date,Video,Actigraph,Bioharness,Polar,Position,Researcher-Ethogram,Researcher-Name,Trainer-Ethogram,Trainer-Name,Date,Video,Actigraph,Bioharness,Polar,Position,Researcher-Ethogram,Researcher-Name,Trainer-Ethogram,Trainer-Name
24,Quinten,03-05-LQ,,,,,,,,,,,,,,,,,,,,
24,Quincy,03-06-LQ,,,,,,,,,,,,,,,,,,,,
24,Quinto,03-07-LQ,,,,,,,,,,,,,,,,,,,,
25,Zaid,09-21-LZ,05/10/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
25,Zavier,09-22-LZ,05/10/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
25,Tango,09-23-LT,05/10/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
25,Quayla,09-24-LQ,05/10/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
25,Varley,09-25-LV,05/10/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
26,Simon,09-31-LS,12/10/2020,Done,Back Missing,Done,Done,,,,Done,Susan,,,,,,,,,,
26,Teal,09-32-LT,12/10/2020,Done,Back Missing,Done,Done,,,,Done,Susan,,,,,,,,,,
26,Zaar,09-33-LZ,12/10/2020,Done,Back Missing,Done,Done,,,,Done,Susan,,,,,,,,,,
26,Zackie,09-34-LZ,12/10/2020,Done,Back Missing,Done,Done,,,,Done,Susan,,,,,,,,,,
26,Vale,09-35-LV,12/10/2020,Done,Back Missing,Done,Done,,,,Done,Susan,,,,,,,,,,
27,Ramona,09-41-LR,,,,,,,,,,,,,,,,,,,,
27,Rita,09-42-LR,,,,,,,,,,,08/12/2020,Done,Done,Done,Done,,,,Done,Susan
27,Zorro,09-43-LZ,,,,,,,,,,,,,,,,,,,,
27,Toto,09-44-LT,,,,,,,,,,,08/12/2020,Done,Done,Done,Done,,,,Done,Susan
27,Zylan,09-45-LZ,,,,,,,,,,,,,,,,,,,,
28,Zita,10-41-LZ,30/10/2020,Done,Done,Done,Done,,,,Done,Susan,17/12/2020,Done ,Done ,Done ,Done ,,,,Done,Susan
28,Tim,10-42-LT,30/10/2020,Done,Done,Done,Done,,,,Done,Susan,17/12/2020,Done ,Done ,Done ,Done ,,,,Done,Susan
28,Rebecca,10-43-LR,30/10/2020,Done,Done,Done,Done,,,,Done,Susan,17/12/2020,Done ,Done ,Done ,Done ,,,,Done,Susan
28,Leigh,10-44-LL,,,,,,,,,,,,,,,,,,,,
28,Eddie,10-45-LE,30/10/2020,Done,Done,Done,Done,,,,Done,Susan,17/12/2020,Done ,Done ,Done ,Done ,,,,Done,Susan
29,Zeplin,11-40-LZ,,,,,,,,,,,,,,,,,,,,
29,Ziggy,11-41-LZ,,,,,,,,,,,,,,,,,,,,
29,Ezra,11-42-LE,,,,,,,,,,,,,,,,,,,,
29,Bubbles,11-43-LB,,,,,,,,,,,,,,,,,,,,
30,Zeeno,11-44-LZ,08/12/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
30,Thor,11-42-LT,08/12/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
30,Tessa,11-43-LT,08/12/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
30,Yeska,11-44-LY,08/12/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
30,Zarley,11-45-LZ,08/12/2020,Done,Done,Done,Done,,,,Done,Susan,,,,,,,,,,
31,Rainbow,11-51-LR,14/12/2020,Done,Done,Done,Done,,,,Done,Allyce,,,,,,,,,,
31,Clay,11-52-LC,14/12/2020,Done,Done,Done,Done,,,,Done,Allyce,,,,,,,,,,
31,Dora,11-53-LD,14/12/2020,Done,Done,Done,Done,,,,Done,Allyce,,,,,,,,,,
31,Piper,11-54-LP,14/12/2020,Done,Done,Done,Done,,,,Done,Allyce,,,,,,,,,,
32,John,11-61-LJ,,,,,,,,,,,,,,,,,,,,
32,Saffron,11-62-LS,,,,,,,,,,,,,,,,,,,,
32,Chhiri,11-63-LC,,,,,,,,,,,,,,,,,,,,
32,Toni,11-64-LT,,,,,,,,,,,,,,,,,,,,
33,Zyon,01-21-LZ,,,,,,,,,,,,,,,,,,,,
33,Tommy,01-22-LT,,,,,,,,,,,,,,,,,,,,
33,Teemo,01-23-LT,,,,,,,,,,,,,,,,,,,,
33,Trinny,01-24-LT,,,,,,,,,,,,,,,,,,,,
33,Woulfie,01-25-LW,,,,,,,,,,,,,,,,,,,,
34,Vaughan,04-11-LV,29/04/2021,Done,Done,Done,Done,,,,Done,Allyce,21/06/2021,Done,Done,Done,Done,,,,Done,Allyce
34,Yani,04-12-LY,29/04/2021,Done,Done,Done,Done,,,,Done,Allyce,21/06/2021,Done,Done,Done,Done,,,,Done,Allyce
34,Yorkie,04-13-LY,29/04/2021,Done,Done,Done,Done,,,,Done,Allyce,21/06/2021,Done,Done,Done,Done,,,,Done,Allyce
34,Verona,04-14-LV,29/04/2021,Done,Done,Done,Done,,,,Done,Allyce,21/06/2021,Done,Done,Done,Done,,,,Done,Allyce
34,Vista,04-15-LV,29/04/2021,Done,Done,Done,Done,,,,Done,Allyce,,,,,,,,,,
34,Harold,04-16-LH,29/04/2021,Done,Done,Done,Done,,,,Done,Allyce,,,,,,,,,,
,,,,,,,,32,,,0,,,,,,,13,,,0,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Stats today
27/10/2021",,,,DC1,,DC2,,Total,,,,,,,
,,,,,,,,,,,TBD,Done,TBD,Done,TBD,Done,Total,,,,,
,,,,,,,Susan,,,,0,50,0,25,0,75,75,,,,,
,,,,,,,Allyce,,,,0,36,8,25,8,61,69,,,,,
,,,,,,,,,,,,,,,,,144,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Done,TBD,,,TBD,,,,,,,,,,,
,,,,Inter-rater,Different raters,,4,,,,8,"Allyce to do 4 (Joy-DC1 & DC2, Junior-DC1 & DC2), Susan to do 4 (Milo-DC1 & DC2, Minnie-DC1 & DC2)",,,,,,,,,,
,,,,Intra-rater,"Same rater, two points in time",,7,,,,5,"Allyce to do 2 (Milo-DC2, Minnie-DC2), Susan to do 3 (Joy-DC1, Junior-DC1, Zodiac-DC2)",,,,,,,,,,
