"","estimate_0","estimate_1","se_0","se_1","z_value_0","z_value_1","p_value_0","p_value_1","deviance"
"S Tea Towel Second Response",-1.8259,0.1705,0.5316,0.2996,-3.435,0.569,6e-04,0.5694,53.7476
"S Distractions First Response_mean",-3.3662,0.52,1.5353,0.4303,-2.1925,1.2083,0.0283,0.2269,52.6325
"S Distractions First Response_prod",-1.6968,6e-04,0.4353,0.0017,-3.8983,0.3472,1e-04,0.7284,53.9543
"S Distractions Second Response_mean",-2.4462,0.2996,1.2124,0.4067,-2.0177,0.7367,0.0436,0.4613,53.5439
"S Distractions Second Response_prod",-1.6454,4e-04,0.3903,0.0021,-4.2154,0.2082,0,0.8351,54.0266
"S Distractions Difference_mean",-1.7504,-0.2394,0.4612,0.4835,-3.7952,-0.495,1e-04,0.6206,53.8259
"S Kong Response_mean",-3.6315,0.7606,1.7493,0.6308,-2.0759,1.2058,0.0379,0.2279,52.6616
"S Kong Response_prod",-2.0809,0.0092,0.4638,0.0056,-4.4865,1.6463,0,0.0997,50.7233
"S Dog Distraction_mean",-1.6372,0.0083,1.1107,0.3152,-1.4739,0.0263,0.1405,0.979,54.0667
"S Dog Distraction_prod",-1.817,0.0249,0.5946,0.056,-3.0555,0.4445,0.0022,0.6567,53.8769
"S Crate Response_mean",-1.7043,0.0515,1.0823,0.5553,-1.5747,0.0928,0.1153,0.926,54.0587
"S Crate Response_prod",-1.4308,-0.0132,0.4331,0.0217,-3.3033,-0.6092,0.001,0.5424,53.6063
"S Crate Stimulus_mean",-2.2038,0.3913,1.3671,0.8598,-1.612,0.4551,0.107,0.6491,53.8677
"S Crate Stimulus_prod",-1.5329,-0.0159,0.4058,0.0479,-3.7773,-0.3321,2e-04,0.7398,53.9277
"S Crate Handler_mean",-0.2145,-1.02,0.9556,0.7224,-0.2245,-1.4119,0.8224,0.158,51.1224
"S Crate Handler_prod",-1.0491,-0.1819,0.4554,0.1408,-2.3038,-1.2915,0.0212,0.1965,50.308
"S Petting Stimulus During_mean",-0.5278,-0.502,1.5046,0.7071,-0.3508,-0.7099,0.7257,0.4777,53.1599
"S Petting Stimulus During_prod",-1.1649,-0.126,0.7527,0.1993,-1.5476,-0.6323,0.1217,0.5272,53.5747
"S Petting Engagement During_mean",0.2697,-0.8927,1.7134,0.8254,0.1574,-1.0815,0.8749,0.2795,52.4979
"S Petting Engagement During_prod",-0.4597,-0.3589,1.121,0.3477,-0.4101,-1.0323,0.6818,0.3019,52.8481
"S Petting After_mean",-2.8716,0.5485,1.7857,0.7364,-1.6081,0.7449,0.1078,0.4564,53.1355
"S Petting After_prod",-1.7234,0.0303,0.8632,0.2089,-1.9964,0.1451,0.0459,0.8846,54.0469
"S Isolation Handler_mean",0.8225,-1.0762,1.4625,0.664,0.5624,-1.6208,0.5738,0.1051,50.9043
"S Isolation Handler_prod",-1.3894,-0.0248,0.4576,0.0379,-3.0361,-0.6564,0.0024,0.5116,53.5304
"S Isolation Stimulus",-1.9724,0.6733,0.4422,0.317,-4.4604,2.1243,0,0.0336,49.1228
"S Sociability_mean",-1.2231,-0.1075,1.7819,0.4888,-0.6864,-0.22,0.4925,0.8259,54.0194
"S Sociability_prod",-1.3569,-0.0054,0.7209,0.0138,-1.8822,-0.3895,0.0598,0.6969,53.9112
"Body check General  Licks ",-1.65292302437384,0.554310735708693,0.363851215272964,1.21066871740798,-4.54285420795916,0.457855008342382,5.54976353772884e-06,0.647056612504766,53.8741535664897
"Tea Towel First Response  Indifferent ",-1.43508452528932,-17.1309839845753,0.351865775274498,2306.10102037218,-4.07849988868563,-0.00742854880737642,4.53272240766295e-05,0.994072930110057,50.9133970751345
"Tea Towel First Response  Change from Neutral ",-18.566068504177,17.1550815304667,2174.21286818468,2174.21289679049,-0.00853921378897842,0.00789024918203296,0.993186775957787,0.993704557318383,50.4816033638907
"Tea Towel First Response  Turns head ",-2.48490664978728,1.04454506739712,1.04083242579026,1.10487964917507,-2.38742240173829,0.945392620976405,0.0169669842086807,0.344458468018671,52.9582077285762
"Tea Towel First Response  Attempts to Removes towel by moving ",-1.54044504094715,-0.164303051291277,0.449867699251445,0.705574581910906,-3.42421792787161,-0.232864186867809,0.000616571551322086,0.815866868736511,54.0127466137429
"Tea Towel First Response  Attempts to Removes towel with mouth ",-1.50407739677627,-0.245122458032987,0.451335449557959,0.705111289886867,-3.33250445594152,-0.347636552624645,0.000860680921752117,0.728113151441962,53.945296604351
"Tea Towel First Response  Plays ",-1.56397553835734,-0.381934610657128,0.36656094117112,1.13013942580984,-4.26661807818537,-0.337953532046225,1.98458476693793e-05,0.735398205609003,53.9444169708731
"Tea Towel Second Response  Indifferent ",-1.02961941718116,-18.5364491013314,0.368394198806504,2292.76329883629,-2.79488499144895,-0.0080847635299901,0.00519181815164123,0.993549362274359,43.8013938494772
"Tea Towel Second Response  Turns head ",-2.15948424110598,0.927340559815019,0.609714973507922,0.745839063659706,-3.54179302614408,1.24335209162244,0.00039741717413797,0.213738116260391,52.4083451646931
"Tea Towel Second Response  Change from Neutral ",-19.5660685064614,18.501357769469,2346.71801749023,2346.7180461436,-0.00833763083618669,0.0078839287062511,0.993347610156908,0.993709600171576,44.4029485326182
"Tea Towel Second Response  Attempts to Removes towel by moving ",-1.73460105538811,0.348306694268418,0.44280743581046,0.713146738514993,-3.91728077513718,0.488408171078097,8.95534224816676e-05,0.625260755302285,53.8328239660068
"Tea Towel Second Response  Attempts to Removes towel with mouth ",-1.38629436111968,-0.81093019923776,0.395284609772211,0.84363138671733,-3.50707901812459,-0.961237587891538,0.000453054592883965,0.33643272097449,53.035512818713
"Tea Towel Second Response  Plays ",-1.58696505658204,-0.204794412645953,0.365839286316346,1.14039674165783,-4.3378748973662,-0.179581723767674,1.43867000504613e-05,0.857480953730153,54.0338411157037
"Sex",-1.94591014901448,0.646627164885065,0.534520392075347,0.705572854098713,-3.640478787833,0.916456976949682,0.000272131527793816,0.359427262938822,53.2097613117208
"Breed",-1.38629436111969,-0.405465108108317,0.499999876356414,0.695221651957633,-2.77258940786517,-0.583217031527416,0.00556122400909291,0.559747207209019,53.728263457098
